precinct,votes,ja'mal green,%,sophia king,%,kam buckner,%,willie l. wilson,%,brandon johnson,%,paul vallas,%,lori e. lightfoot,%,roderick t. sawyer,%,"jesus ""chuy"" garcia",%,ward
3,222,9,4.05%,0,0%,1,0.45%,59,26.58%,25,11.26%,14,6.31%,104,46.85%,3,1.35%,7,3.15%,Ward 8
4,459,16,3.49%,9,1.96%,3,0.65%,103,22.44%,72,15.69%,35,7.63%,202,44.01%,4,0.87%,15,3.27%,Ward 8
5,291,5,1.72%,5,1.72%,5,1.72%,50,17.18%,63,21.65%,22,7.56%,121,41.58%,2,0.69%,18,6.19%,Ward 8
6,537,22,4.10%,14,2.61%,6,1.12%,101,18.81%,93,17.32%,37,6.89%,233,43.39%,7,1.30%,24,4.47%,Ward 8
7,293,16,5.46%,5,1.71%,4,1.37%,65,22.18%,53,18.09%,27,9.22%,109,37.20%,4,1.37%,10,3.41%,Ward 8
8,663,29,4.37%,9,1.36%,8,1.21%,103,15.54%,132,19.91%,62,9.35%,290,43.74%,15,2.26%,15,2.26%,Ward 8
9,401,18,4.49%,8,2.00%,5,1.25%,98,24.44%,68,16.96%,26,6.48%,160,39.90%,9,2.24%,9,2.24%,Ward 8
10,405,23,5.68%,3,0.74%,4,0.99%,99,24.44%,57,14.07%,28,6.91%,172,42.47%,4,0.99%,15,3.70%,Ward 8
11,369,17,4.61%,2,0.54%,4,1.08%,67,18.16%,87,23.58%,23,6.23%,144,39.02%,5,1.36%,20,5.42%,Ward 8
12,432,11,2.55%,16,3.70%,7,1.62%,48,11.11%,100,23.15%,45,10.42%,190,43.98%,6,1.39%,9,2.08%,Ward 8
13,433,17,3.93%,15,3.46%,1,0.23%,85,19.63%,77,17.78%,46,10.62%,167,38.57%,4,0.92%,21,4.85%,Ward 8
14,488,21,4.30%,5,1.02%,7,1.43%,86,17.62%,100,20.49%,57,11.68%,198,40.57%,1,0.20%,13,2.66%,Ward 8
15,346,14,4.05%,8,2.31%,4,1.16%,61,17.63%,76,21.97%,41,11.85%,131,37.86%,4,1.16%,7,2.02%,Ward 8
16,346,7,2.02%,6,1.73%,3,0.87%,59,17.05%,51,14.74%,27,7.80%,173,50.00%,10,2.89%,10,2.89%,Ward 8
17,591,26,4.40%,16,2.71%,4,0.68%,103,17.43%,86,14.55%,83,14.04%,247,41.79%,5,0.85%,21,3.55%,Ward 8
18,798,23,2.88%,18,2.26%,7,0.88%,111,13.91%,148,18.55%,98,12.28%,355,44.49%,17,2.13%,21,2.63%,Ward 8
19,563,11,1.95%,9,1.60%,0,0%,122,21.67%,108,19.18%,46,8.17%,229,40.67%,18,3.20%,20,3.55%,Ward 8
20,256,9,3.52%,7,2.73%,1,0.39%,62,24.22%,44,17.19%,31,12.11%,95,37.11%,0,0%,7,2.73%,Ward 8
21,278,15,5.40%,2,0.72%,5,1.80%,68,24.46%,55,19.78%,26,9.35%,100,35.97%,2,0.72%,5,1.80%,Ward 8
22,208,13,6.25%,1,0.48%,0,0%,34,16.35%,27,12.98%,26,12.50%,100,48.08%,2,0.96%,5,2.40%,Ward 8
23,629,27,4.29%,6,0.95%,3,0.48%,151,24.01%,91,14.47%,59,9.38%,271,43.08%,3,0.48%,18,2.86%,Ward 8
24,372,17,4.57%,6,1.61%,4,1.08%,79,21.24%,79,21.24%,29,7.80%,149,40.05%,1,0.27%,8,2.15%,Ward 8
25,185,12,6.49%,4,2.16%,2,1.08%,31,16.76%,45,24.32%,17,9.19%,64,34.59%,0,0%,10,5.41%,Ward 8
26,312,17,5.45%,2,0.64%,3,0.96%,66,21.15%,59,18.91%,21,6.73%,131,41.99%,7,2.24%,6,1.92%,Ward 8
27,429,20,4.66%,2,0.47%,2,0.47%,70,16.32%,105,24.48%,44,10.26%,170,39.63%,4,0.93%,12,2.80%,Ward 8
28,309,19,6.15%,2,0.65%,3,0.97%,84,27.18%,38,12.30%,28,9.06%,124,40.13%,1,0.32%,10,3.24%,Ward 8
29,395,14,3.54%,3,0.76%,5,1.27%,75,18.99%,61,15.44%,22,5.57%,194,49.11%,6,1.52%,15,3.80%,Ward 8
30,369,15,4.07%,7,1.90%,4,1.08%,67,18.16%,84,22.76%,35,9.49%,145,39.30%,5,1.36%,7,1.90%,Ward 8
1,447,33,7.38%,5,1.12%,4,0.89%,72,16.11%,109,24.38%,31,6.94%,180,40.27%,3,0.67%,10,2.24%,Ward 9
2,314,18,5.73%,2,0.64%,2,0.64%,79,25.16%,41,13.06%,25,7.96%,134,42.68%,1,0.32%,12,3.82%,Ward 9
3,167,11,6.59%,5,2.99%,3,1.80%,38,22.75%,21,12.57%,12,7.19%,66,39.52%,1,0.60%,10,5.99%,Ward 9
4,338,13,3.85%,2,0.59%,4,1.18%,74,21.89%,60,17.75%,33,9.76%,140,41.42%,1,0.30%,11,3.25%,Ward 9
5,333,14,4.20%,8,2.40%,5,1.50%,71,21.32%,60,18.02%,28,8.41%,131,39.34%,2,0.60%,14,4.20%,Ward 9
6,598,20,3.34%,7,1.17%,4,0.67%,112,18.73%,120,20.07%,76,12.71%,238,39.80%,8,1.34%,13,2.17%,Ward 9
7,448,27,6.03%,3,0.67%,5,1.12%,118,26.34%,54,12.05%,39,8.71%,193,43.08%,2,0.45%,7,1.56%,Ward 9
8,433,22,5.08%,0,0%,1,0.23%,143,33.03%,58,13.39%,33,7.62%,153,35.33%,4,0.92%,19,4.39%,Ward 9
9,280,9,3.21%,2,0.71%,0,0%,96,34.29%,33,11.79%,21,7.50%,103,36.79%,4,1.43%,12,4.29%,Ward 9
10,588,20,3.40%,6,1.02%,5,0.85%,116,19.73%,109,18.54%,82,13.95%,234,39.80%,4,0.68%,12,2.04%,Ward 9
11,185,4,2.16%,2,1.08%,0,0%,54,29.19%,29,15.68%,8,4.32%,83,44.86%,1,0.54%,4,2.16%,Ward 9
12,525,25,4.76%,9,1.71%,2,0.38%,84,16.00%,100,19.05%,49,9.33%,236,44.95%,3,0.57%,17,3.24%,Ward 9
13,475,10,2.11%,6,1.26%,3,0.63%,92,19.37%,85,17.89%,52,10.95%,197,41.47%,10,2.11%,20,4.21%,Ward 9
14,247,15,6.07%,2,0.81%,3,1.21%,52,21.05%,38,15.38%,21,8.50%,95,38.46%,4,1.62%,17,6.88%,Ward 9
15,361,11,3.05%,7,1.94%,1,0.28%,87,24.10%,58,16.07%,33,9.14%,148,41.00%,3,0.83%,13,3.60%,Ward 9
16,465,25,5.38%,9,1.94%,9,1.94%,88,18.92%,72,15.48%,55,11.83%,180,38.71%,8,1.72%,19,4.09%,Ward 9
17,133,5,3.76%,5,3.76%,1,0.75%,39,29.32%,11,8.27%,10,7.52%,56,42.11%,0,0%,6,4.51%,Ward 9
18,260,15,5.77%,5,1.92%,1,0.38%,85,32.69%,19,7.31%,21,8.08%,102,39.23%,1,0.38%,11,4.23%,Ward 9
19,184,17,9.24%,2,1.09%,2,1.09%,48,26.09%,16,8.70%,18,9.78%,57,30.98%,2,1.09%,22,11.96%,Ward 9
20,454,13,2.86%,6,1.32%,5,1.10%,47,10.35%,76,16.74%,130,28.63%,99,21.81%,1,0.22%,77,16.96%,Ward 9
21,392,18,4.59%,5,1.28%,2,0.51%,92,23.47%,59,15.05%,29,7.40%,174,44.39%,0,0%,13,3.32%,Ward 9
22,300,16,5.33%,2,0.67%,2,0.67%,93,31.00%,37,12.33%,27,9.00%,113,37.67%,1,0.33%,9,3.00%,Ward 9
23,226,10,4.42%,1,0.44%,1,0.44%,51,22.57%,27,11.95%,15,6.64%,114,50.44%,1,0.44%,6,2.65%,Ward 9
24,376,16,4.26%,4,1.06%,6,1.60%,99,26.33%,45,11.97%,38,10.11%,150,39.89%,3,0.80%,15,3.99%,Ward 9
25,279,14,5.02%,3,1.08%,2,0.72%,66,23.66%,41,14.70%,23,8.24%,121,43.37%,3,1.08%,6,2.15%,Ward 9
26,407,22,5.41%,3,0.74%,7,1.72%,85,20.88%,72,17.69%,38,9.34%,168,41.28%,2,0.49%,10,2.46%,Ward 9
27,213,7,3.29%,3,1.41%,2,0.94%,42,19.72%,38,17.84%,16,7.51%,101,47.42%,1,0.47%,3,1.41%,Ward 9
28,168,14,8.33%,2,1.19%,0,0%,44,26.19%,26,15.48%,16,9.52%,61,36.31%,1,0.60%,4,2.38%,Ward 9
29,559,23,4.11%,5,0.89%,5,0.89%,116,20.75%,99,17.71%,59,10.55%,232,41.50%,2,0.36%,18,3.22%,Ward 9
30,413,18,4.36%,3,0.73%,1,0.24%,102,24.70%,63,15.25%,47,11.38%,165,39.95%,1,0.24%,13,3.15%,Ward 9
1,136,2,1.47%,1,0.74%,0,0%,18,13.24%,13,9.56%,19,13.97%,39,28.68%,0,0%,44,32.35%,Ward 10
2,169,6,3.55%,3,1.78%,4,2.37%,21,12.43%,15,8.88%,31,18.34%,36,21.30%,3,1.78%,50,29.59%,Ward 10
3,240,12,5.00%,4,1.67%,3,1.25%,28,11.67%,23,9.58%,55,22.92%,39,16.25%,1,0.42%,75,31.25%,Ward 10
4,301,13,4.32%,4,1.33%,1,0.33%,72,23.92%,25,8.31%,35,11.63%,83,27.57%,0,0%,68,22.59%,Ward 10
5,118,0,0%,0,0%,0,0%,7,5.93%,7,5.93%,42,35.59%,9,7.63%,0,0%,53,44.92%,Ward 10
6,155,1,0.65%,1,0.65%,0,0%,14,9.03%,21,13.55%,29,18.71%,13,8.39%,0,0%,76,49.03%,Ward 10
7,353,5,1.42%,2,0.57%,1,0.28%,19,5.38%,35,9.92%,127,35.98%,12,3.40%,0,0%,152,43.06%,Ward 10
8,334,5,1.50%,4,1.20%,1,0.30%,14,4.19%,19,5.69%,136,40.72%,13,3.89%,0,0%,142,42.51%,Ward 10
9,321,5,1.56%,0,0%,3,0.93%,23,7.17%,25,7.79%,66,20.56%,18,5.61%,2,0.62%,179,55.76%,Ward 10
10,323,3,0.93%,0,0%,2,0.62%,21,6.50%,27,8.36%,79,24.46%,24,7.43%,0,0%,167,51.70%,Ward 10
11,133,0,0%,0,0%,0,0%,3,2.26%,16,12.03%,32,24.06%,0,0%,0,0%,82,61.65%,Ward 10
12,333,3,0.90%,1,0.30%,1,0.30%,25,7.51%,30,9.01%,106,31.83%,13,3.90%,0,0%,154,46.25%,Ward 10
13,405,4,0.99%,2,0.49%,8,1.98%,28,6.91%,37,9.14%,125,30.86%,19,4.69%,1,0.25%,181,44.69%,Ward 10
14,559,2,0.36%,3,0.54%,4,0.72%,32,5.72%,57,10.20%,179,32.02%,19,3.40%,0,0%,263,47.05%,Ward 10
15,460,1,0.22%,2,0.43%,4,0.87%,49,10.65%,31,6.74%,204,44.35%,21,4.57%,0,0%,148,32.17%,Ward 10
16,550,7,1.27%,3,0.55%,1,0.18%,35,6.36%,44,8.00%,210,38.18%,25,4.55%,0,0%,225,40.91%,Ward 10
17,503,2,0.40%,0,0%,0,0%,17,3.38%,35,6.96%,261,51.89%,10,1.99%,2,0.40%,176,34.99%,Ward 10
18,601,5,0.83%,3,0.50%,2,0.33%,82,13.64%,44,7.32%,287,47.75%,45,7.49%,0,0%,133,22.13%,Ward 10
19,356,1,0.28%,3,0.84%,2,0.56%,30,8.43%,19,5.34%,192,53.93%,27,7.58%,0,0%,82,23.03%,Ward 10
20,201,4,1.99%,0,0%,1,0.50%,14,6.97%,13,6.47%,95,47.26%,16,7.96%,0,0%,58,28.86%,Ward 10
21,292,2,0.68%,2,0.68%,0,0%,28,9.59%,33,11.30%,163,55.82%,8,2.74%,1,0.34%,55,18.84%,Ward 10
22,582,6,1.03%,2,0.34%,1,0.17%,55,9.45%,29,4.98%,346,59.45%,14,2.41%,0,0%,129,22.16%,Ward 10
23,291,9,3.09%,3,1.03%,0,0%,42,14.43%,21,7.22%,59,20.27%,53,18.21%,1,0.34%,103,35.40%,Ward 10
24,138,13,9.42%,2,1.45%,1,0.72%,54,39.13%,11,7.97%,8,5.80%,41,29.71%,1,0.72%,7,5.07%,Ward 10
25,170,11,6.47%,3,1.76%,1,0.59%,61,35.88%,21,12.35%,14,8.24%,49,28.82%,0,0%,10,5.88%,Ward 10
1,218,2,0.92%,4,1.83%,5,2.29%,18,8.26%,16,7.34%,127,58.26%,23,10.55%,1,0.46%,22,10.09%,Ward 11
2,125,4,3.20%,1,0.80%,2,1.60%,13,10.40%,13,10.40%,68,54.40%,13,10.40%,0,0%,11,8.80%,Ward 11
3,704,14,1.99%,4,0.57%,11,1.56%,41,5.82%,83,11.79%,452,64.20%,26,3.69%,4,0.57%,69,9.80%,Ward 11
4,384,6,1.56%,2,0.52%,8,2.08%,24,6.25%,56,14.58%,195,50.78%,24,6.25%,0,0%,69,17.97%,Ward 11
5,416,0,0%,4,0.96%,8,1.92%,25,6.01%,69,16.59%,212,50.96%,37,8.89%,3,0.72%,58,13.94%,Ward 11
6,579,15,2.59%,11,1.90%,8,1.38%,42,7.25%,81,13.99%,285,49.22%,25,4.32%,0,0%,112,19.34%,Ward 11
7,440,17,3.86%,2,0.45%,5,1.14%,32,7.27%,49,11.14%,242,55.00%,45,10.23%,2,0.45%,46,10.45%,Ward 11
8,676,14,2.07%,11,1.63%,4,0.59%,23,3.40%,55,8.14%,465,68.79%,40,5.92%,1,0.15%,63,9.32%,Ward 11
9,611,7,1.15%,8,1.31%,3,0.49%,37,6.06%,54,8.84%,432,70.70%,24,3.93%,0,0%,46,7.53%,Ward 11
10,150,8,5.33%,2,1.33%,1,0.67%,7,4.67%,7,4.67%,105,70.00%,11,7.33%,0,0%,9,6.00%,Ward 11
11,127,9,7.09%,0,0%,2,1.57%,15,11.81%,6,4.72%,72,56.69%,10,7.87%,0,0%,13,10.24%,Ward 11
12,211,1,0.47%,2,0.95%,2,0.95%,6,2.84%,17,8.06%,158,74.88%,7,3.32%,1,0.47%,17,8.06%,Ward 11
13,516,9,1.74%,7,1.36%,5,0.97%,27,5.23%,55,10.66%,345,66.86%,17,3.29%,0,0%,51,9.88%,Ward 11
14,830,11,1.33%,2,0.24%,8,0.96%,42,5.06%,152,18.31%,475,57.23%,37,4.46%,4,0.48%,99,11.93%,Ward 11
15,530,10,1.89%,6,1.13%,7,1.32%,26,4.91%,169,31.89%,178,33.58%,30,5.66%,1,0.19%,103,19.43%,Ward 11
16,648,12,1.85%,2,0.31%,14,2.16%,27,4.17%,192,29.63%,254,39.20%,49,7.56%,2,0.31%,96,14.81%,Ward 11
17,347,2,0.58%,3,0.86%,2,0.58%,23,6.63%,51,14.70%,193,55.62%,16,4.61%,0,0%,57,16.43%,Ward 11
18,507,6,1.18%,2,0.39%,3,0.59%,44,8.68%,47,9.27%,236,46.55%,17,3.35%,2,0.39%,150,29.59%,Ward 11
19,152,2,1.32%,1,0.66%,0,0%,14,9.21%,14,9.21%,60,39.47%,5,3.29%,0,0%,56,36.84%,Ward 11
20,449,8,1.78%,2,0.45%,9,2.00%,17,3.79%,91,20.27%,240,53.45%,22,4.90%,2,0.45%,58,12.92%,Ward 11
21,793,5,0.63%,4,0.50%,4,0.50%,29,3.66%,90,11.35%,547,68.98%,29,3.66%,1,0.13%,84,10.59%,Ward 11
22,588,11,1.87%,1,0.17%,3,0.51%,44,7.48%,44,7.48%,428,72.79%,11,1.87%,0,0%,46,7.82%,Ward 11
23,570,6,1.05%,3,0.53%,5,0.88%,29,5.09%,46,8.07%,383,67.19%,25,4.39%,1,0.18%,72,12.63%,Ward 11
1,291,8,2.75%,3,1.03%,1,0.34%,11,3.78%,57,19.59%,81,27.84%,8,2.75%,1,0.34%,121,41.58%,Ward 12
2,225,5,2.22%,1,0.44%,0,0%,14,6.22%,25,11.11%,63,28.00%,5,2.22%,1,0.44%,111,49.33%,Ward 12
3,391,6,1.53%,0,0%,1,0.26%,19,4.86%,99,25.32%,118,30.18%,24,6.14%,0,0%,124,31.71%,Ward 12
4,313,5,1.60%,1,0.32%,7,2.24%,14,4.47%,59,18.85%,103,32.91%,15,4.79%,4,1.28%,105,33.55%,Ward 12
5,326,9,2.76%,1,0.31%,1,0.31%,7,2.15%,51,15.64%,143,43.87%,13,3.99%,1,0.31%,100,30.67%,Ward 12
6,310,11,3.55%,1,0.32%,3,0.97%,19,6.13%,38,12.26%,98,31.61%,15,4.84%,2,0.65%,123,39.68%,Ward 12
7,269,3,1.12%,1,0.37%,1,0.37%,13,4.83%,17,6.32%,100,37.17%,12,4.46%,0,0%,122,45.35%,Ward 12
8,292,3,1.03%,2,0.68%,0,0%,11,3.77%,38,13.01%,115,39.38%,11,3.77%,2,0.68%,110,37.67%,Ward 12
9,151,2,1.32%,0,0%,0,0%,10,6.62%,23,15.23%,61,40.40%,8,5.30%,0,0%,47,31.13%,Ward 12
10,259,6,2.32%,0,0%,1,0.39%,10,3.86%,33,12.74%,62,23.94%,10,3.86%,0,0%,137,52.90%,Ward 12
11,240,4,1.67%,1,0.42%,0,0%,5,2.08%,13,5.42%,55,22.92%,7,2.92%,0,0%,155,64.58%,Ward 12
12,219,4,1.83%,0,0%,0,0%,20,9.13%,15,6.85%,49,22.37%,11,5.02%,0,0%,120,54.79%,Ward 12
13,269,0,0%,3,1.12%,1,0.37%,18,6.69%,33,12.27%,81,30.11%,12,4.46%,0,0%,121,44.98%,Ward 12
14,242,4,1.65%,2,0.83%,0,0%,17,7.02%,25,10.33%,50,20.66%,10,4.13%,0,0%,134,55.37%,Ward 12
15,262,1,0.38%,1,0.38%,3,1.15%,24,9.16%,26,9.92%,68,25.95%,12,4.58%,0,0%,127,48.47%,Ward 12
16,266,1,0.38%,0,0%,0,0%,25,9.40%,37,13.91%,56,21.05%,3,1.13%,0,0%,144,54.14%,Ward 12
17,264,4,1.52%,0,0%,1,0.38%,12,4.55%,30,11.36%,80,30.30%,19,7.20%,1,0.38%,117,44.32%,Ward 12
18,289,5,1.73%,4,1.38%,3,1.04%,23,7.96%,36,12.46%,52,17.99%,4,1.38%,0,0%,162,56.06%,Ward 12
19,181,4,2.21%,0,0%,2,1.10%,6,3.31%,33,18.23%,49,27.07%,9,4.97%,0,0%,78,43.09%,Ward 12
20,240,0,0%,0,0%,0,0%,8,3.33%,38,15.83%,51,21.25%,12,5.00%,1,0.42%,130,54.17%,Ward 12
21,253,7,2.77%,1,0.40%,2,0.79%,11,4.35%,37,14.62%,69,27.27%,18,7.11%,1,0.40%,107,42.29%,Ward 12
22,195,4,2.05%,1,0.51%,0,0%,13,6.67%,18,9.23%,45,23.08%,6,3.08%,0,0%,108,55.38%,Ward 12
1,242,1,0.41%,0,0%,2,0.83%,16,6.61%,10,4.13%,86,35.54%,11,4.55%,0,0%,116,47.93%,Ward 13
2,277,2,0.72%,1,0.36%,0,0%,36,13.00%,29,10.47%,94,33.94%,8,2.89%,0,0%,107,38.63%,Ward 13
3,494,1,0.20%,2,0.40%,5,1.01%,42,8.50%,19,3.85%,341,69.03%,16,3.24%,0,0%,68,13.77%,Ward 13
4,327,3,0.92%,2,0.61%,1,0.31%,30,9.17%,28,8.56%,103,31.50%,10,3.06%,0,0%,150,45.87%,Ward 13
5,308,0,0%,2,0.65%,0,0%,26,8.44%,19,6.17%,188,61.04%,6,1.95%,0,0%,67,21.75%,Ward 13
6,339,1,0.29%,1,0.29%,0,0%,29,8.55%,19,5.60%,207,61.06%,10,2.95%,0,0%,72,21.24%,Ward 13
7,295,1,0.34%,0,0%,1,0.34%,24,8.14%,10,3.39%,184,62.37%,16,5.42%,0,0%,59,20.00%,Ward 13
8,390,7,1.79%,1,0.26%,3,0.77%,35,8.97%,28,7.18%,157,40.26%,18,4.62%,0,0%,141,36.15%,Ward 13
9,516,6,1.16%,0,0%,3,0.58%,32,6.20%,20,3.88%,358,69.38%,14,2.71%,0,0%,83,16.09%,Ward 13
10,451,0,0%,1,0.22%,1,0.22%,30,6.65%,17,3.77%,324,71.84%,12,2.66%,0,0%,66,14.63%,Ward 13
11,253,1,0.40%,0,0%,0,0%,31,12.25%,9,3.56%,148,58.50%,8,3.16%,1,0.40%,55,21.74%,Ward 13
12,175,0,0%,0,0%,0,0%,13,7.43%,10,5.71%,53,30.29%,8,4.57%,1,0.57%,90,51.43%,Ward 13
13,294,2,0.68%,0,0%,0,0%,26,8.84%,9,3.06%,197,67.01%,9,3.06%,0,0%,51,17.35%,Ward 13
14,312,3,0.96%,0,0%,2,0.64%,32,10.26%,17,5.45%,178,57.05%,12,3.85%,0,0%,68,21.79%,Ward 13
15,290,2,0.69%,0,0%,1,0.34%,30,10.34%,7,2.41%,173,59.66%,5,1.72%,1,0.34%,71,24.48%,Ward 13
16,319,2,0.63%,1,0.31%,1,0.31%,33,10.34%,40,12.54%,138,43.26%,15,4.70%,0,0%,89,27.90%,Ward 13
17,346,1,0.29%,2,0.58%,0,0%,16,4.62%,32,9.25%,132,38.15%,12,3.47%,1,0.29%,150,43.35%,Ward 13
18,248,2,0.81%,1,0.40%,3,1.21%,20,8.06%,16,6.45%,89,35.89%,20,8.06%,0,0%,97,39.11%,Ward 13
19,231,3,1.30%,0,0%,0,0%,30,12.99%,15,6.49%,137,59.31%,4,1.73%,1,0.43%,41,17.75%,Ward 13
20,360,3,0.83%,2,0.56%,2,0.56%,20,5.56%,22,6.11%,250,69.44%,8,2.22%,0,0%,53,14.72%,Ward 13
21,283,5,1.77%,0,0%,3,1.06%,25,8.83%,9,3.18%,171,60.42%,13,4.59%,0,0%,57,20.14%,Ward 13
22,366,6,1.64%,2,0.55%,0,0%,26,7.10%,32,8.74%,153,41.80%,11,3.01%,1,0.27%,135,36.89%,Ward 13
23,405,2,0.49%,0,0%,0,0%,26,6.42%,22,5.43%,317,78.27%,8,1.98%,1,0.25%,29,7.16%,Ward 13
24,294,4,1.36%,0,0%,0,0%,26,8.84%,11,3.74%,160,54.42%,13,4.42%,0,0%,80,27.21%,Ward 13
25,278,3,1.08%,4,1.44%,1,0.36%,22,7.91%,25,8.99%,104,37.41%,13,4.68%,0,0%,106,38.13%,Ward 13
26,222,2,0.90%,1,0.45%,0,0%,16,7.21%,18,8.11%,88,39.64%,6,2.70%,0,0%,91,40.99%,Ward 13
27,215,2,0.93%,0,0%,1,0.47%,16,7.44%,14,6.51%,64,29.77%,8,3.72%,1,0.47%,109,50.70%,Ward 13
28,244,2,0.82%,0,0%,1,0.41%,13,5.33%,25,10.25%,83,34.02%,6,2.46%,1,0.41%,113,46.31%,Ward 13
29,213,1,0.47%,0,0%,1,0.47%,18,8.45%,26,12.21%,86,40.38%,8,3.76%,1,0.47%,72,33.80%,Ward 13
30,384,3,0.78%,1,0.26%,2,0.52%,30,7.81%,21,5.47%,262,68.23%,9,2.34%,0,0%,56,14.58%,Ward 13
31,252,1,0.40%,2,0.79%,3,1.19%,18,7.14%,9,3.57%,168,66.67%,8,3.17%,0,0%,43,17.06%,Ward 13
32,263,1,0.38%,2,0.76%,3,1.14%,27,10.27%,12,4.56%,153,58.17%,6,2.28%,0,0%,59,22.43%,Ward 13
33,297,1,0.34%,3,1.01%,1,0.34%,22,7.41%,21,7.07%,160,53.87%,11,3.70%,0,0%,78,26.26%,Ward 13
34,395,0,0%,2,0.51%,0,0%,33,8.35%,19,4.81%,257,65.06%,16,4.05%,2,0.51%,66,16.71%,Ward 13
35,430,1,0.23%,4,0.93%,1,0.23%,21,4.88%,25,5.81%,274,63.72%,15,3.49%,1,0.23%,88,20.47%,Ward 13
36,193,5,2.59%,1,0.52%,1,0.52%,11,5.70%,7,3.63%,64,33.16%,12,6.22%,1,0.52%,91,47.15%,Ward 13
37,438,4,0.91%,3,0.68%,0,0%,36,8.22%,9,2.05%,316,72.15%,14,3.20%,0,0%,56,12.79%,Ward 13
38,182,2,1.10%,5,2.75%,2,1.10%,16,8.79%,14,7.69%,77,42.31%,16,8.79%,0,0%,50,27.47%,Ward 13
39,382,1,0.26%,1,0.26%,0,0%,28,7.33%,16,4.19%,257,67.28%,11,2.88%,0,0%,68,17.80%,Ward 13
40,341,0,0%,1,0.29%,0,0%,31,9.09%,18,5.28%,205,60.12%,10,2.93%,0,0%,76,22.29%,Ward 13
1,343,4,1.17%,6,1.75%,0,0%,34,9.91%,35,10.20%,74,21.57%,30,8.75%,0,0%,160,46.65%,Ward 14
2,277,1,0.36%,0,0%,0,0%,17,6.14%,25,9.03%,88,31.77%,8,2.89%,0,0%,138,49.82%,Ward 14
3,201,4,1.99%,2,1.00%,0,0%,13,6.47%,16,7.96%,45,22.39%,6,2.99%,1,0.50%,114,56.72%,Ward 14
4,78,3,3.85%,0,0%,1,1.28%,6,7.69%,8,10.26%,14,17.95%,5,6.41%,0,0%,41,52.56%,Ward 14
5,296,8,2.70%,1,0.34%,0,0%,12,4.05%,28,9.46%,50,16.89%,11,3.72%,0,0%,186,62.84%,Ward 14
6,416,6,1.44%,1,0.24%,4,0.96%,15,3.61%,33,7.93%,88,21.15%,12,2.88%,4,0.96%,253,60.82%,Ward 14
7,425,6,1.41%,1,0.24%,2,0.47%,37,8.71%,37,8.71%,118,27.76%,14,3.29%,0,0%,210,49.41%,Ward 14
8,376,6,1.60%,2,0.53%,1,0.27%,21,5.59%,40,10.64%,91,24.20%,7,1.86%,5,1.33%,203,53.99%,Ward 14
9,350,0,0%,2,0.57%,0,0%,27,7.71%,30,8.57%,91,26.00%,24,6.86%,1,0.29%,175,50.00%,Ward 14
10,379,6,1.58%,0,0%,0,0%,11,2.90%,23,6.07%,58,15.30%,12,3.17%,1,0.26%,268,70.71%,Ward 14
11,391,9,2.30%,3,0.77%,1,0.26%,24,6.14%,32,8.18%,83,21.23%,11,2.81%,1,0.26%,227,58.06%,Ward 14
12,273,3,1.10%,0,0%,0,0%,24,8.79%,23,8.42%,41,15.02%,12,4.40%,1,0.37%,169,61.90%,Ward 14
13,422,4,0.95%,0,0%,1,0.24%,26,6.16%,46,10.90%,139,32.94%,15,3.55%,4,0.95%,187,44.31%,Ward 14
14,213,3,1.41%,0,0%,0,0%,11,5.16%,26,12.21%,38,17.84%,7,3.29%,1,0.47%,127,59.62%,Ward 14
15,204,5,2.45%,1,0.49%,0,0%,30,14.71%,19,9.31%,25,12.25%,21,10.29%,2,0.98%,101,49.51%,Ward 14
1,335,1,0.30%,2,0.60%,0,0%,33,9.85%,14,4.18%,242,72.24%,7,2.09%,1,0.30%,35,10.45%,Ward 15
2,444,2,0.45%,2,0.45%,0,0%,55,12.39%,22,4.95%,315,70.95%,10,2.25%,1,0.23%,37,8.33%,Ward 15
3,154,1,0.65%,0,0%,0,0%,18,11.69%,11,7.14%,95,61.69%,8,5.19%,0,0%,21,13.64%,Ward 15
4,225,5,2.22%,2,0.89%,0,0%,19,8.44%,19,8.44%,50,22.22%,12,5.33%,0,0%,118,52.44%,Ward 15
5,218,1,0.46%,0,0%,0,0%,13,5.96%,22,10.09%,30,13.76%,19,8.72%,0,0%,133,61.01%,Ward 15
6,270,3,1.11%,0,0%,1,0.37%,15,5.56%,43,15.93%,36,13.33%,10,3.70%,1,0.37%,161,59.63%,Ward 15
7,146,3,2.05%,0,0%,0,0%,22,15.07%,20,13.70%,18,12.33%,6,4.11%,0,0%,77,52.74%,Ward 15
8,207,3,1.45%,1,0.48%,0,0%,29,14.01%,25,12.08%,35,16.91%,24,11.59%,1,0.48%,89,43.00%,Ward 15
9,266,4,1.50%,1,0.38%,0,0%,15,5.64%,43,16.17%,74,27.82%,10,3.76%,0,0%,119,44.74%,Ward 15
10,203,5,2.46%,1,0.49%,1,0.49%,41,20.20%,24,11.82%,21,10.34%,47,23.15%,1,0.49%,62,30.54%,Ward 15
11,203,3,1.48%,0,0%,2,0.99%,8,3.94%,19,9.36%,25,12.32%,12,5.91%,0,0%,134,66.01%,Ward 15
12,230,2,0.87%,0,0%,3,1.30%,29,12.61%,25,10.87%,49,21.30%,24,10.43%,1,0.43%,97,42.17%,Ward 15
